,Member_number,Date,itemDescription,TransactionID
12122,4126,2014-10-18,Coffee,4126_2014-10-18
12123,3359,2014-06-07,Shopping Bags,3359_2014-06-07
12124,2747,2014-09-17,Whole Milk,2747_2014-09-17
12125,2467,2014-11-30,Onions,2467_2014-11-30
12126,4993,2014-08-15,Onions,4993_2014-08-15
12127,1738,2014-08-10,Whole Milk,1738_2014-08-10
12128,2755,2014-10-30,Salty Snack,2755_2014-10-30
12129,3035,2014-02-21,Misc. Beverages,3035_2014-02-21
12130,4267,2014-11-12,Rolls/Buns,4267_2014-11-12
12131,1907,2014-04-20,Hamburger Meat,1907_2014-04-20
12132,3568,2014-08-14,Bottled Beer,3568_2014-08-14
12133,1798,2014-05-29,Beverages,1798_2014-05-29
12134,3289,2014-02-02,Hard Cheese,3289_2014-02-02
12135,4853,2014-07-20,Misc. Beverages,4853_2014-07-20
12136,2144,2014-05-13,Pork,2144_2014-05-13
12137,2079,2014-08-26,Turkey,2079_2014-08-26
12138,3689,2014-09-10,Pastry,3689_2014-09-10
12139,4913,2014-11-06,Rolls/Buns,4913_2014-11-06
12140,3830,2014-04-01,Margarine,3830_2014-04-01
12141,2829,2014-07-07,Pork,2829_2014-07-07
12142,4138,2014-10-07,Salty Snack,4138_2014-10-07
12143,3484,2014-11-19,Uht-Milk,3484_2014-11-19
12144,2413,2014-09-16,Yogurt,2413_2014-09-16
12145,2164,2014-09-30,Pork,2164_2014-09-30
12146,3393,2014-07-02,Whole Milk,3393_2014-07-02
12147,4325,2014-03-03,Ice Cream,4325_2014-03-03
12148,1205,2014-04-30,Whole Milk,1205_2014-04-30
12149,4793,2014-12-14,Pork,4793_2014-12-14
12150,4194,2014-02-23,Root Vegetables,4194_2014-02-23
12151,2018,2014-02-05,Tropical Fruit,2018_2014-02-05
12152,1881,2014-08-18,Soda,1881_2014-08-18
12153,3967,2014-01-23,Hard Cheese,3967_2014-01-23
12154,4305,2014-12-03,Whole Milk,4305_2014-12-03
12155,2637,2014-06-18,Whole Milk,2637_2014-06-18
12156,2631,2014-02-20,Frozen Vegetables,2631_2014-02-20
12157,1630,2014-10-22,Whole Milk,1630_2014-10-22
12158,4860,2014-05-30,Bottled Water,4860_2014-05-30
12159,2014,2014-06-07,Dessert,2014_2014-06-07
12160,1197,2014-03-19,Pip Fruit,1197_2014-03-19
12161,1572,2014-03-31,Bottled Beer,1572_2014-03-31
12162,1833,2014-10-20,Other Vegetables,1833_2014-10-20
12163,3737,2014-09-05,Other Vegetables,3737_2014-09-05
12164,3860,2014-10-06,Rolls/Buns,3860_2014-10-06
12165,1954,2014-08-16,Hamburger Meat,1954_2014-08-16
12166,1923,2014-02-02,Meat,1923_2014-02-02
12167,1052,2014-01-04,Beef,1052_2014-01-04
12168,2773,2014-05-30,Female Sanitary Products,2773_2014-05-30
12169,2070,2014-04-13,Skin Care,2070_2014-04-13
12170,2632,2014-12-10,Other Vegetables,2632_2014-12-10
12171,4999,2014-05-19,Other Vegetables,4999_2014-05-19
12172,3158,2014-10-04,Citrus Fruit,3158_2014-10-04
12173,3763,2014-07-15,Tropical Fruit,3763_2014-07-15
12174,1740,2014-07-26,Tropical Fruit,1740_2014-07-26
12175,3548,2014-03-13,Tropical Fruit,3548_2014-03-13
12176,2404,2014-10-22,Soda,2404_2014-10-22
12177,2258,2014-10-19,Soda,2258_2014-10-19
12178,2795,2014-03-19,Root Vegetables,2795_2014-03-19
12179,1270,2014-07-12,Cake Bar,1270_2014-07-12
12180,4803,2014-01-12,Root Vegetables,4803_2014-01-12
12181,1542,2014-12-08,Hamburger Meat,1542_2014-12-08
12182,4929,2014-05-08,Beef,4929_2014-05-08
12183,4620,2014-03-16,Root Vegetables,4620_2014-03-16
12184,2836,2014-11-06,Meat,2836_2014-11-06
12185,1692,2014-06-12,Chewing Gum,1692_2014-06-12
12186,4563,2014-05-20,Root Vegetables,4563_2014-05-20
12187,4210,2014-03-17,Tropical Fruit,4210_2014-03-17
12188,1971,2014-05-28,White Wine,1971_2014-05-28
12189,1280,2014-04-13,Butter Milk,1280_2014-04-13
12190,2632,2014-06-22,Beef,2632_2014-06-22
12191,3430,2014-08-12,Tropical Fruit,3430_2014-08-12
12192,3554,2014-01-15,White Bread,3554_2014-01-15
12193,1924,2014-11-22,Root Vegetables,1924_2014-11-22
12194,1064,2014-04-21,Cream Cheese ,1064_2014-04-21
12195,3208,2014-12-02,Fruit/Vegetable Juice,3208_2014-12-02
12196,1895,2014-04-06,Other Vegetables,1895_2014-04-06
12197,1865,2014-02-17,Onions,1865_2014-02-17
12198,4316,2014-08-04,Whole Milk,4316_2014-08-04
12199,3411,2014-05-02,Other Vegetables,3411_2014-05-02
12200,4855,2014-08-27,Whole Milk,4855_2014-08-27
12201,3782,2014-01-15,Pip Fruit,3782_2014-01-15
12202,4394,2014-11-13,Curd,4394_2014-11-13
12203,2112,2014-06-03,Soda,2112_2014-06-03
12204,3768,2014-01-06,Dessert,3768_2014-01-06
12205,1109,2014-10-14,Curd,1109_2014-10-14
12206,3850,2014-06-14,Frozen Vegetables,3850_2014-06-14
12207,1466,2014-05-24,Root Vegetables,1466_2014-05-24
12208,3785,2014-07-12,Other Vegetables,3785_2014-07-12
12209,3116,2014-05-22,Ham,3116_2014-05-22
12210,3705,2014-05-18,Frozen Meals,3705_2014-05-18
12211,4916,2014-01-11,Grapes,4916_2014-01-11
12212,3467,2014-10-20,Beef,3467_2014-10-20
12213,2523,2014-10-11,Pip Fruit,2523_2014-10-11
12214,2916,2014-08-12,Whole Milk,2916_2014-08-12
12215,3675,2014-11-15,Pork,3675_2014-11-15
12216,1206,2014-02-03,Tropical Fruit,1206_2014-02-03
12217,1621,2014-08-28,Sugar,1621_2014-08-28
12218,2629,2014-07-09,Tropical Fruit,2629_2014-07-09
12219,2712,2014-08-15,Rolls/Buns,2712_2014-08-15
12220,2486,2014-04-19,Curd,2486_2014-04-19
12221,3166,2014-05-03,Other Vegetables,3166_2014-05-03
12222,3120,2014-01-02,Beef,3120_2014-01-02
12223,4060,2014-10-01,Other Vegetables,4060_2014-10-01
12224,4443,2014-10-19,Frozen Meals,4443_2014-10-19
12225,2180,2014-09-27,Other Vegetables,2180_2014-09-27
12226,2552,2014-07-11,Pot Plants,2552_2014-07-11
12227,4022,2014-07-10,Roll Products ,4022_2014-07-10
12228,2617,2014-08-12,Root Vegetables,2617_2014-08-12
12229,2937,2014-04-24,Sausage,2937_2014-04-24
12230,3516,2014-09-09,Long Life Bakery Product,3516_2014-09-09
12231,3582,2014-06-16,Tropical Fruit,3582_2014-06-16
12232,2022,2014-03-28,Curd Cheese,2022_2014-03-28
12233,2345,2014-06-09,Whipped/Sour Cream,2345_2014-06-09
12234,2837,2014-11-05,Brandy,2837_2014-11-05
12235,3715,2014-04-04,Whole Milk,3715_2014-04-04
12236,3010,2014-06-13,Pork,3010_2014-06-13
12237,2428,2014-02-11,Yogurt,2428_2014-02-11
12238,4512,2014-08-12,Root Vegetables,4512_2014-08-12
12239,1194,2014-01-16,Whole Milk,1194_2014-01-16
12240,2492,2014-03-14,Soft Cheese,2492_2014-03-14
12241,3732,2014-07-14,Butter,3732_2014-07-14
12242,1653,2014-12-20,Citrus Fruit,1653_2014-12-20
12243,3117,2014-03-19,Cat Food,3117_2014-03-19
12244,1506,2014-12-25,Cat Food,1506_2014-12-25
12245,3110,2014-07-23,Processed Cheese,3110_2014-07-23
12246,2274,2014-02-22,Pork,2274_2014-02-22
12247,3074,2014-11-03,Processed Cheese,3074_2014-11-03
12248,4969,2014-09-09,Other Vegetables,4969_2014-09-09
12249,2546,2014-06-04,Fish,2546_2014-06-04
12250,4434,2014-01-30,Domestic Eggs,4434_2014-01-30
12251,2931,2014-07-05,Pip Fruit,2931_2014-07-05
12252,1329,2014-01-29,Canned Beer,1329_2014-01-29
12253,3797,2014-09-07,Semi-Finished Bread,3797_2014-09-07
12254,1525,2014-07-13,Sausage,1525_2014-07-13
12255,3704,2014-12-03,Other Vegetables,3704_2014-12-03
12256,3221,2014-07-28,Soft Cheese,3221_2014-07-28
12257,1118,2014-03-02,Bottled Beer,1118_2014-03-02
12258,4891,2014-06-02,Specialty Bar,4891_2014-06-02
12259,2716,2014-09-03,Yogurt,2716_2014-09-03
12260,1083,2014-07-15,Specialty Chocolate,1083_2014-07-15
12261,1345,2014-04-08,Soda,1345_2014-04-08
12262,3122,2014-04-16,Other Vegetables,3122_2014-04-16
12263,2306,2014-03-17,Cream Cheese ,2306_2014-03-17
12264,1410,2014-06-26,Specialty Chocolate,1410_2014-06-26
12265,2956,2014-07-22,Soda,2956_2014-07-22
12266,4389,2014-04-22,Chicken,4389_2014-04-22
12267,4946,2014-04-24,Bottled Beer,4946_2014-04-24
12268,3893,2014-05-19,Pip Fruit,3893_2014-05-19
12269,3401,2014-03-17,Pip Fruit,3401_2014-03-17
12270,3082,2014-07-07,Pip Fruit,3082_2014-07-07
12271,2437,2014-07-06,Soda,2437_2014-07-06
12272,3909,2014-11-16,Specialty Bar,3909_2014-11-16
12273,3207,2014-12-06,Bottled Water,3207_2014-12-06
12274,4526,2014-12-19,Uht-Milk,4526_2014-12-19
12275,1288,2014-09-28,Citrus Fruit,1288_2014-09-28
12276,1013,2014-01-17,Hard Cheese,1013_2014-01-17
12277,1615,2014-06-07,Herbs,1615_2014-06-07
12278,3956,2014-10-26,Domestic Eggs,3956_2014-10-26
12279,1868,2014-03-19,Ham,1868_2014-03-19
12280,2863,2014-03-03,Chocolate,2863_2014-03-03
12281,3052,2014-10-26,Ketchup,3052_2014-10-26
12282,2612,2014-06-02,White Bread,2612_2014-06-02
12283,4362,2014-01-22,Chewing Gum,4362_2014-01-22
12284,4512,2014-05-28,Pip Fruit,4512_2014-05-28
12285,4176,2014-06-11,Other Vegetables,4176_2014-06-11
12286,1766,2014-04-15,Dessert,1766_2014-04-15
12287,4261,2014-05-29,Root Vegetables,4261_2014-05-29
12288,4683,2014-03-02,Cling Film/Bags,4683_2014-03-02
12289,1443,2014-08-25,Tropical Fruit,1443_2014-08-25
12290,1692,2014-07-26,Dessert,1692_2014-07-26
12291,2283,2014-11-22,Citrus Fruit,2283_2014-11-22
12292,3562,2014-12-17,Butter,3562_2014-12-17
12293,1004,2014-06-10,Rolls/Buns,1004_2014-06-10
12294,1405,2014-05-14,Other Vegetables,1405_2014-05-14
12295,2141,2014-04-24,Rolls/Buns,2141_2014-04-24
12296,2954,2014-07-17,Root Vegetables,2954_2014-07-17
12297,2230,2014-07-14,Meat,2230_2014-07-14
12298,1765,2014-06-12,Meat,1765_2014-06-12
12299,4735,2014-03-27,Brown Bread,4735_2014-03-27
12300,3603,2014-07-20,Other Vegetables,3603_2014-07-20
12301,1774,2014-08-10,Other Vegetables,1774_2014-08-10
12302,4018,2014-10-30,Specialty Bar,4018_2014-10-30
12303,2437,2014-02-25,Bottled Water,2437_2014-02-25
12304,2847,2014-04-28,Hamburger Meat,2847_2014-04-28
12305,3832,2014-06-07,Condensed Milk,3832_2014-06-07
12306,4433,2014-10-19,Whole Milk,4433_2014-10-19
12307,2358,2014-06-26,Root Vegetables,2358_2014-06-26
12308,2540,2014-07-23,Whole Milk,2540_2014-07-23
12309,2298,2014-04-12,Domestic Eggs,2298_2014-04-12
12310,4618,2014-02-28,Newspapers,4618_2014-02-28
12311,4667,2014-03-05,Canned Beer,4667_2014-03-05
12312,4527,2014-10-14,Citrus Fruit,4527_2014-10-14
12313,1521,2014-09-11,Whole Milk,1521_2014-09-11
12314,3403,2014-01-21,Bottled Water,3403_2014-01-21
12315,3831,2014-03-29,Tropical Fruit,3831_2014-03-29
12316,3141,2014-01-04,Frozen Vegetables,3141_2014-01-04
12317,2732,2014-03-04,Frozen Fish,2732_2014-03-04
12318,3905,2014-04-04,Domestic Eggs,3905_2014-04-04
12319,3100,2014-04-16,Uht-Milk,3100_2014-04-16
12320,1549,2014-07-17,Liver Loaf,1549_2014-07-17
12321,3726,2014-09-03,Pip Fruit,3726_2014-09-03
12322,1429,2014-10-19,Packaged Fruit/Vegetables,1429_2014-10-19
12323,2928,2014-11-04,Beef,2928_2014-11-04
12324,3482,2014-01-13,Root Vegetables,3482_2014-01-13
12325,2410,2014-12-06,Chicken,2410_2014-12-06
12326,4448,2014-12-11,Uht-Milk,4448_2014-12-11
12327,3095,2014-05-08,Beef,3095_2014-05-08
12328,4445,2014-04-25,Rolls/Buns,4445_2014-04-25
12329,3148,2014-04-23,Ham,3148_2014-04-23
12330,4746,2014-07-08,Sausage,4746_2014-07-08
12331,2814,2014-06-10,Whole Milk,2814_2014-06-10
12332,4494,2014-11-08,Pork,4494_2014-11-08
12333,2631,2014-09-29,Whole Milk,2631_2014-09-29
12334,3021,2014-11-15,Chicken,3021_2014-11-15
12335,1530,2014-09-05,Pastry,1530_2014-09-05
12336,4202,2014-07-12,Citrus Fruit,4202_2014-07-12
12337,3931,2014-06-22,Margarine,3931_2014-06-22
12338,1644,2014-07-13,Salty Snack,1644_2014-07-13
12339,3149,2014-01-25,Whipped/Sour Cream,3149_2014-01-25
12340,2122,2014-04-06,Berries,2122_2014-04-06
12341,3831,2014-03-01,Soda,3831_2014-03-01
12342,3583,2014-03-21,Other Vegetables,3583_2014-03-21
12343,3848,2014-02-28,Soft Cheese,3848_2014-02-28
12344,1264,2014-12-11,Tropical Fruit,1264_2014-12-11
12345,2060,2014-05-25,Salty Snack,2060_2014-05-25
12346,4116,2014-10-12,Root Vegetables,4116_2014-10-12
12347,4727,2014-04-12,Other Vegetables,4727_2014-04-12
12348,1692,2014-05-04,Other Vegetables,1692_2014-05-04
12349,4370,2014-02-12,Other Vegetables,4370_2014-02-12
12350,1355,2014-03-29,Curd,1355_2014-03-29
12351,2549,2014-08-20,Other Vegetables,2549_2014-08-20
12352,2612,2014-06-11,Berries,2612_2014-06-11
12353,1094,2014-12-11,Hamburger Meat,1094_2014-12-11
12354,2932,2014-11-10,Whole Milk,2932_2014-11-10
12355,4402,2014-10-09,Meat,4402_2014-10-09
12356,3942,2014-05-06,Canned Fish,3942_2014-05-06
12357,2644,2014-03-29,Sausage,2644_2014-03-29
12358,3116,2014-03-12,Frozen Meals,3116_2014-03-12
12359,1188,2014-07-04,Butter Milk,1188_2014-07-04
12360,1387,2014-05-31,Rolls/Buns,1387_2014-05-31
12361,4468,2014-03-12,Onions,4468_2014-03-12
12362,1652,2014-12-06,Bottled Beer,1652_2014-12-06
12363,1234,2014-03-16,Root Vegetables,1234_2014-03-16
12364,3480,2014-08-31,Beverages,3480_2014-08-31
12365,3946,2014-04-19,Whole Milk,3946_2014-04-19
12366,2784,2014-08-10,Berries,2784_2014-08-10
12367,3743,2014-08-13,Whole Milk,3743_2014-08-13
12368,2313,2014-05-02,Other Vegetables,2313_2014-05-02
12369,2746,2014-01-17,Hamburger Meat,2746_2014-01-17
12370,4543,2014-05-11,Pastry,4543_2014-05-11
12371,1692,2014-11-11,Canned Beer,1692_2014-11-11
12372,4163,2014-02-16,Other Vegetables,4163_2014-02-16
12373,1379,2014-09-21,Bottled Water,1379_2014-09-21
12374,1442,2014-10-01,Specialty Bar,1442_2014-10-01
12375,3517,2014-08-21,Butter,3517_2014-08-21
12376,2177,2014-06-29,Yogurt,2177_2014-06-29
12377,2086,2014-01-08,Root Vegetables,2086_2014-01-08
12378,1169,2014-11-01,Soda,1169_2014-11-01
12379,4113,2014-03-13,Other Vegetables,4113_2014-03-13
12380,4807,2014-04-03,Onions,4807_2014-04-03
12381,3688,2014-02-09,Rice,3688_2014-02-09
12382,4252,2014-12-25,Ham,4252_2014-12-25
12383,1136,2014-05-25,Instant Coffee,1136_2014-05-25
12384,3590,2014-10-31,Specialty Bar,3590_2014-10-31
12385,3523,2014-10-16,Bottled Water,3523_2014-10-16
12386,2801,2014-10-10,Dessert,2801_2014-10-10
12387,3264,2014-10-11,Root Vegetables,3264_2014-10-11
12388,4033,2014-03-18,Soft Cheese,4033_2014-03-18
12389,4944,2014-08-26,Meat,4944_2014-08-26
12390,1740,2014-07-13,Whipped/Sour Cream,1740_2014-07-13
12391,1108,2014-06-25,Frozen Potato Products,1108_2014-06-25
12392,3327,2014-08-03,Frozen Potato Products,3327_2014-08-03
12393,2148,2014-12-06,Citrus Fruit,2148_2014-12-06
12394,1932,2014-06-02,Specialty Chocolate,1932_2014-06-02
12395,1943,2014-09-16,Uht-Milk,1943_2014-09-16
12396,1416,2014-03-04,Canned Beer,1416_2014-03-04
12397,1592,2014-11-28,Other Vegetables,1592_2014-11-28
12398,1452,2014-05-31,Margarine,1452_2014-05-31
12399,2138,2014-12-12,Chocolate,2138_2014-12-12
12400,3482,2014-07-30,Pastry,3482_2014-07-30
12401,3499,2014-06-13,Berries,3499_2014-06-13
12402,1668,2014-07-25,Turkey,1668_2014-07-25
12403,2298,2014-04-15,Soda,2298_2014-04-15
12404,1214,2014-07-08,Syrup,1214_2014-07-08
12405,1937,2014-04-18,Whole Milk,1937_2014-04-18
12406,2312,2014-02-14,Pip Fruit,2312_2014-02-14
12407,2469,2014-06-17,Pet Care,2469_2014-06-17
12408,4826,2014-03-02,Whole Milk,4826_2014-03-02
12409,2127,2014-04-16,Pastry,2127_2014-04-16
12410,3409,2014-05-15,Grapes,3409_2014-05-15
12411,1162,2014-04-05,Misc. Beverages,1162_2014-04-05
12412,4723,2014-08-28,Root Vegetables,4723_2014-08-28
12413,2254,2014-03-02,Whipped/Sour Cream,2254_2014-03-02
12414,3684,2014-08-28,Root Vegetables,3684_2014-08-28
12415,2746,2014-08-03,Bottled Beer,2746_2014-08-03
12416,1275,2014-06-10,Citrus Fruit,1275_2014-06-10
12417,1654,2014-11-26,Pip Fruit,1654_2014-11-26
12418,4463,2014-06-08,Pip Fruit,4463_2014-06-08
12419,2658,2014-09-28,Root Vegetables,2658_2014-09-28
12420,3018,2014-11-17,Tropical Fruit,3018_2014-11-17
12421,3934,2014-09-24,Specialty Bar,3934_2014-09-24
12422,1426,2014-10-03,Bottled Water,1426_2014-10-03
12423,2898,2014-06-10,Rolls/Buns,2898_2014-06-10
12424,2004,2014-05-09,Tropical Fruit,2004_2014-05-09
12425,2551,2014-01-11,Other Vegetables,2551_2014-01-11
12426,1816,2014-08-21,Pickled Vegetables,1816_2014-08-21
12427,3992,2014-04-12,Specialty Bar,3992_2014-04-12
12428,1211,2014-12-12,Finished Products,1211_2014-12-12
12429,3356,2014-06-26,Other Vegetables,3356_2014-06-26
12430,4690,2014-12-17,Rolls/Buns,4690_2014-12-17
12431,2540,2014-11-11,Misc. Beverages,2540_2014-11-11
12432,1948,2014-01-04,Other Vegetables,1948_2014-01-04
12433,2146,2014-10-22,Whole Milk,2146_2014-10-22
12434,4406,2014-08-16,Sugar,4406_2014-08-16
12435,4769,2014-08-20,Napkins,4769_2014-08-20
12436,2371,2014-09-07,Meat,2371_2014-09-07
12437,2986,2014-03-28,Pork,2986_2014-03-28
12438,4084,2014-04-23,Fruit/Vegetable Juice,4084_2014-04-23
12439,2218,2014-05-13,Sausage,2218_2014-05-13
12440,4649,2014-09-19,Canned Beer,4649_2014-09-19
12441,2722,2014-07-26,Root Vegetables,2722_2014-07-26
12442,1259,2014-06-24,Fruit/Vegetable Juice,1259_2014-06-24
12443,3129,2014-04-02,Sweet Spreads,3129_2014-04-02
12444,1223,2014-09-20,Packaged Fruit/Vegetables,1223_2014-09-20
12445,1457,2014-05-12,Root Vegetables,1457_2014-05-12
12446,2987,2014-04-16,Misc. Beverages,2987_2014-04-16
12447,3811,2014-03-23,Other Vegetables,3811_2014-03-23
12448,3899,2014-04-22,White Bread,3899_2014-04-22
12449,3013,2014-05-12,Uht-Milk,3013_2014-05-12
12450,1456,2014-07-01,Liquor,1456_2014-07-01
12451,3616,2014-10-08,Soda,3616_2014-10-08
12452,2612,2014-05-30,Tropical Fruit,2612_2014-05-30
12453,3505,2014-08-05,White Wine,3505_2014-08-05
12454,4221,2014-06-01,Bottled Water,4221_2014-06-01
12455,4540,2014-12-26,Frozen Vegetables,4540_2014-12-26
12456,3356,2014-11-08,Beef,3356_2014-11-08
12457,3281,2014-04-19,Yogurt,3281_2014-04-19
12458,2092,2014-12-17,Salty Snack,2092_2014-12-17
12459,2620,2014-04-19,Hamburger Meat,2620_2014-04-19
12460,4456,2014-05-01,Specialty Bar,4456_2014-05-01
12461,1253,2014-03-01,Pastry,1253_2014-03-01
12462,4925,2014-12-18,Pip Fruit,4925_2014-12-18
12463,3663,2014-12-19,Chewing Gum,3663_2014-12-19
12464,2539,2014-11-23,Bottled Beer,2539_2014-11-23
12465,3809,2014-11-11,Fruit/Vegetable Juice,3809_2014-11-11
12466,3587,2014-02-18,Misc. Beverages,3587_2014-02-18
12467,4103,2014-12-22,Yogurt,4103_2014-12-22
12468,3137,2014-02-23,Root Vegetables,3137_2014-02-23
12469,4368,2014-05-22,Coffee,4368_2014-05-22
12470,4660,2014-01-23,Pork,4660_2014-01-23
12471,3967,2014-03-07,Chocolate,3967_2014-03-07
12472,4193,2014-04-30,Ketchup,4193_2014-04-30
12473,4243,2014-12-29,Pot Plants,4243_2014-12-29
12474,1495,2014-11-10,Whipped/Sour Cream,1495_2014-11-10
12475,4813,2014-05-15,Soda,4813_2014-05-15
12476,2445,2014-10-29,Chicken,2445_2014-10-29
12477,2213,2014-08-25,Yogurt,2213_2014-08-25
12478,4591,2014-07-11,Berries,4591_2014-07-11
12479,4663,2014-02-24,Fruit/Vegetable Juice,4663_2014-02-24
12480,4526,2014-10-28,Ice Cream,4526_2014-10-28
12481,4367,2014-09-28,Root Vegetables,4367_2014-09-28
12482,4877,2014-05-19,Bottled Beer,4877_2014-05-19
12483,4814,2014-01-18,Pickled Vegetables,4814_2014-01-18
12484,3145,2014-08-15,Tropical Fruit,3145_2014-08-15
12485,1589,2014-08-27,Hamburger Meat,1589_2014-08-27
12486,2273,2014-11-13,Bottled Water,2273_2014-11-13
12487,4339,2014-11-20,Whole Milk,4339_2014-11-20
12488,2954,2014-05-28,Fruit/Vegetable Juice,2954_2014-05-28
12489,2935,2014-02-04,Pastry,2935_2014-02-04
12490,1618,2014-05-14,Root Vegetables,1618_2014-05-14
12491,1745,2014-03-22,Tropical Fruit,1745_2014-03-22
12492,1689,2014-12-09,Rolls/Buns,1689_2014-12-09
12493,2560,2014-12-01,Shopping Bags,2560_2014-12-01
12494,1779,2014-01-13,Citrus Fruit,1779_2014-01-13
12495,1822,2014-01-24,Dessert,1822_2014-01-24
12496,1711,2014-05-23,Oil,1711_2014-05-23
12497,1020,2014-08-12,Canned Beer,1020_2014-08-12
12498,4538,2014-08-19,Other Vegetables,4538_2014-08-19
12499,3138,2014-05-24,Other Vegetables,3138_2014-05-24
12500,4030,2014-05-20,Brown Bread,4030_2014-05-20
12501,4453,2014-11-07,Whole Milk,4453_2014-11-07
12502,1167,2014-11-01,Rolls/Buns,1167_2014-11-01
12503,3302,2014-03-10,Canned Beer,3302_2014-03-10
12504,4398,2014-03-12,Specialty Chocolate,4398_2014-03-12
12505,1731,2014-10-26,Other Vegetables,1731_2014-10-26
12506,2796,2014-02-16,Whipped/Sour Cream,2796_2014-02-16
12507,3102,2014-11-28,Shopping Bags,3102_2014-11-28
12508,1801,2014-12-06,Canned Beer,1801_2014-12-06
12509,2909,2014-07-23,Rolls/Buns,2909_2014-07-23
12510,4256,2014-05-09,Whole Milk,4256_2014-05-09
12511,3751,2014-01-11,Specialty Chocolate,3751_2014-01-11
12512,3758,2014-06-14,Whole Milk,3758_2014-06-14
12513,2218,2014-09-06,Brown Bread,2218_2014-09-06
12514,1320,2014-01-07,Mayonnaise,1320_2014-01-07
12515,2116,2014-02-13,Fruit/Vegetable Juice,2116_2014-02-13
12516,3594,2014-11-05,Specialty Chocolate,3594_2014-11-05
12517,3989,2014-10-18,Chicken,3989_2014-10-18
12518,4864,2014-12-03,Whole Milk,4864_2014-12-03
12519,2100,2014-03-20,Chocolate,2100_2014-03-20
12520,1263,2014-10-19,Frozen Meals,1263_2014-10-19
12521,1286,2014-07-02,Long Life Bakery Product,1286_2014-07-02
12522,2870,2014-09-04,Pork,2870_2014-09-04
12523,3256,2014-12-17,Cream Cheese ,3256_2014-12-17
12524,2617,2014-02-22,Other Vegetables,2617_2014-02-22
12525,1635,2014-12-20,Whole Milk,1635_2014-12-20
12526,4401,2014-02-24,Bottled Beer,4401_2014-02-24
12527,4931,2014-06-18,Berries,4931_2014-06-18
12528,4641,2014-09-05,Waffles,4641_2014-09-05
12529,1715,2014-10-18,Newspapers,1715_2014-10-18
12530,2536,2014-06-10,Photo/Film,2536_2014-06-10
12531,4108,2014-09-13,Whipped/Sour Cream,4108_2014-09-13
12532,4481,2014-09-19,Brown Bread,4481_2014-09-19
12533,2196,2014-03-25,Whole Milk,2196_2014-03-25
12534,2446,2014-09-24,Cake Bar,2446_2014-09-24
12535,4797,2014-01-27,Whole Milk,4797_2014-01-27
12536,2802,2014-07-28,Whole Milk,2802_2014-07-28
12537,3255,2014-11-20,Tropical Fruit,3255_2014-11-20
12538,2432,2014-02-25,Brandy,2432_2014-02-25
12539,4592,2014-03-28,Tropical Fruit,4592_2014-03-28
12540,4148,2014-09-28,Whole Milk,4148_2014-09-28
12541,2541,2014-09-12,Soda,2541_2014-09-12
12542,3570,2014-07-13,Soda,3570_2014-07-13
12543,1839,2014-04-10,Berries,1839_2014-04-10
12544,1793,2014-10-27,Brown Bread,1793_2014-10-27
12545,3914,2014-11-28,Shopping Bags,3914_2014-11-28
12546,4995,2014-03-16,Rice,4995_2014-03-16
12547,3026,2014-10-29,Butter Milk,3026_2014-10-29
12548,4486,2014-07-07,Yogurt,4486_2014-07-07
12549,1413,2014-12-14,Sugar,1413_2014-12-14
12550,1995,2014-07-02,Frozen Meals,1995_2014-07-02
12551,1036,2014-01-20,Fruit/Vegetable Juice,1036_2014-01-20
12552,3104,2014-01-22,Root Vegetables,3104_2014-01-22
12553,2045,2014-04-05,Whole Milk,2045_2014-04-05
12554,1490,2014-10-18,Detergent,1490_2014-10-18
12555,4246,2014-06-28,Tropical Fruit,4246_2014-06-28
12556,2537,2014-02-23,Uht-Milk,2537_2014-02-23
12557,4413,2014-09-07,Nuts/Prunes,4413_2014-09-07
12558,2072,2014-02-18,Newspapers,2072_2014-02-18
12559,2219,2014-09-13,Margarine,2219_2014-09-13
12560,3691,2014-02-24,Berries,3691_2014-02-24
12561,4832,2014-02-18,Turkey,4832_2014-02-18
12562,1170,2014-06-03,Chocolate,1170_2014-06-03
12563,1198,2014-03-22,Citrus Fruit,1198_2014-03-22
12564,1606,2014-01-12,Dog Food,1606_2014-01-12
12565,3680,2014-02-22,Shopping Bags,3680_2014-02-22
12566,1477,2014-03-14,Packaged Fruit/Vegetables,1477_2014-03-14
12567,1197,2014-05-12,Beef,1197_2014-05-12
12568,2699,2014-05-07,Nuts/Prunes,2699_2014-05-07
12569,2042,2014-09-10,Pip Fruit,2042_2014-09-10
12570,3898,2014-11-10,Hamburger Meat,3898_2014-11-10
12571,4501,2014-10-01,Brown Bread,4501_2014-10-01
12572,3233,2014-10-26,Chocolate,3233_2014-10-26
12573,4947,2014-02-02,White Wine,4947_2014-02-02
12574,4314,2014-10-25,Other Vegetables,4314_2014-10-25
12575,4391,2014-04-30,Meat Spreads,4391_2014-04-30
12576,4520,2014-02-11,Whole Milk,4520_2014-02-11
12577,1075,2014-06-19,Uht-Milk,1075_2014-06-19
12578,2320,2014-12-08,Margarine,2320_2014-12-08
12579,3019,2014-12-13,Dishes,3019_2014-12-13
12580,1516,2014-02-20,Specialty Chocolate,1516_2014-02-20
12581,4310,2014-01-04,Candy,4310_2014-01-04
12582,4788,2014-02-10,Other Vegetables,4788_2014-02-10
12583,3761,2014-08-07,Soft Cheese,3761_2014-08-07
